NOME;DATE;PROVENIENZA;ATTIVITA';ANNI DI CONTATTO CON TARTINI;CONTATTI CON TERZI;TESTIMONIANZA DI TARTINI;TESTIMONIANZA DELL'ALLIEVO SU TARTINI;TESTIMONIANZE DI TERZI;ANCHE COMPOSITORE;EPISTOLARIO TARTINI;EITNER;RIEMANN;MGG;NGD;GMO;FETIS;DIC;DUM;DEUMM;DBI;FONTI;NOTE;SONATE A 3;SONATE A 4;ALTRE COMPOSIZIONI;SCRITTI;RISM;MGG2
ALBERGHI, Paolo Tommaso;1716-1785;Faenza (Italy);;1730-1733;Giuseppe Sarti;;;;X;;;;MGG;;GMO;;;;;;DOUNIAS, 1935;;"17 Trioson. für 2 V. und B., US-BE, It 16–32
23 Trioson. für 2 Fl. und B., US-BE, MS 805A-C; davon 12 auch in Bearb. für 2 V. und B.
1 Trioson. für dass., I-PS, Bearb. von US-Bem, It 18:I, II; It 21:III";;"Diversi inni occorrenti per le feste fra l’anno für MCh., Orgel
[6] Tantum ergo für MCh., Orgel
Ave Maris Stella für MCh. (unvollständig)
Responsorii per il Mattino del Mercoledi Santo für MCh., Orgel (unvollständig)
»Jesu Redemptor, inno per il S.?Natale« für 2 MCh., Orgel
Compieta [per Natale] für 2 MCh., Orgel
»Crudelis herodis Deum, inno per l’Epifania« für 2 MCh., Orgel
»Gloria in Excelsis Concertato« per il SS Nome di Gesù la 2.da Domenica dopo l’Epifania für 2 MCh., Orgel
»Veni creator spiritus«, Mot. für S, MCh., Orgel (unvollständig)
Messa a4 piena per la Quaresima für MCh., Orgel (1763)
Magnificat a4 pieno per la Quaresima für MCh., Orgel
Il genio romano e il genio faentino (Nicolò Tosetti), componimento drammatico (Kant., Musik verloren), Libr. gedr. Faenza 1767, I-FZ, Cicognani
Faenza liberata dalla peste (Francesco Maccbelli), componimento drammatico (Or., Musik verloren), Libr. gedr. Faenza 1769, I-FZ, Cicognani
Ouvertüre und Szene »Tu resterai mia cara« für S, T und StrOrch., US-Wc

20 Konz. für V. und Orch., US-BE, It 33–62, 1051, 1053
3 Konz. für V. und Orch., US-Wc, LC Deck 49 1958/17, 4–6; Abschrift von Nr.?5 in: US-BE, It 40
Konz. für V. und Orch., I-Bc
2 langsame Konzertsätze, US-BE; verzierte Fassungen von US-BE, It 33:II
Concerto für V. und Orch. (1743), I-Bc, IV: 87/17953

12 Son. für V. und B., US-Bem, It 1–15 1023
1 Son. für dass., I-V, Levi
1 Son. für dass., I-Bc, DD 65";Trattato teorico e pratico dell’ accompagnamento del cimbalo con l’arte di trasportare in tutti i toni e sopra tutti gli strumenti, I-Fc, B.2422;;MGG
ANGELINI, Bernardo;;Italy;;;;;;;;;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 384";;;;;;;
Annamaria  [Anna Maria];1696-1782;Italy;violinista nel coro della Pietà;;Allieva di Vivaldi;;;;;;;;;;;;;;;;"POUGIN, 1924; GILLIO, 2000";;;;;;;
BABBI, C;;Italy;;;;;;;;;;;;;;;;;;;"Citato da Alberto BACHMANN ne L'école du violon. ""Studiò il violino sotto Paolo Alberghi scolare di Tartini"", cfr. BERTINI 1815";;;;;;;
BAGGE, Charles Ernst (baron) de;1722-1791;Fockenhof (Latvia);Paris;1747-1750;;;;;X;;;;;;;;;;;;"""Bagge was twenty-five years old when his father died in 1747. He seems ti have left Courland almost immediately and travelled in Europe for about three years. For a large portion of that time he was in Italy, and although there is no documentary evidence to cite, it is very probable that he was for a time a pupil of Tartini at Padua""";;;;;;;
BARONI, Cristoforo;1711-1767;Borgo Sacco (Italy);;pre gennaio 1746;;"T.  a Vannetti: ""Anzi le suggerisco per questo effetto l’aiuto del signor Christoforo Baroni in Sacco (fu mio scolare) quale certamente concorrerà per sua bontà nelle mie premure.""";;;matematico;p. 167;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 384";;;;;;;
BAUM, Friederich;;;;1766;;;;;;;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 384; Wöchentliche Nachrichten und Anmerkungen, die Musik betreffend, Volume 1, p. 27";;;;;;;
BERTAU, (Martin);1708-1771;"Lion (France); MGG e Eitner dicono Valenciennes";;;Jeanne Pierre Duport (allievo);"T. a Martini: ""Il datore della presente è monsieur Bertau dilettante di violino, e per mia fortuna mio scolare. Dico per mia fortuna, perché tra quante persone nobili io ho conosciuto, e servito, di questa mi pregio sopra tutte: non tanto per la di lui conditione distinta e per nascita e per fortune, quanto per le doti del di lui animo, che sono veramente singolari. Egli nato in Lione viene costà a goder di Bologna per la seconda volta. Pensi vostra riverenza a fargliela conoscere intimamente, e a procurarli que’ piaceri e musicali, et eruditi, per li quali egli debba riccordarsi e di lei, e di me e di Bologna. Sappia di più, che la confidenza mia in cotesto signore è tanto grande, ch’egli è intieramente conscio del secreto, che passa tra vostra riverenza, il signor dottor Balbi, e me. Può dunque discorrerne secolui apertamente con la stessa sicurezza, con cui trattiamo l’interesse tra noi. Le ho detto tutto, e da ciò comprenda, qual sia la mia premura per cotesto signore. Vostra riverenza dunque pensi seriamente al bisogno, perché in rispetto a tal persona io non prego, ma voglio.""";;;X;p. 30, 195;EIT;;MGG;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945; Capri parla di ""Bertan"", segno che copia il nome da Dounias";;"Sonate en trio für 2 V. und Vc. (5. Mai 1750 bzw. 8. Sept. 1853 
im Concert spirituel aufgeführt; s. Adas 1989, S.?369)";;"Menuets, airs gracieux, airs gays u.?a., in: Receuil [sic] d’airs choisis des meilleurs auteurs ajustés pour le violoncelle par Mr. Cupis le jeune, [1746]
[6] Sonate da camera a violoncello solo col basso continuo […] opera Ia, 1748, [21772], Le Menu; GB-Lbl (zugeschr. Philippo Martino); I-Bc (zugeschr. François Martin); 3. Sonate G-Dur in F-Pn G.?B.?Sammartini zugeschr. (›Sammartini-Sonate‹), hrsg. von A.?Moffat, Mz. 1911, Schott (= Sonates classiques pour violoncelle, Serie 2, Nr.?17); J.?Stutchewski, N.?Y. 1948, International; L.?Rose, enb. 1962)
[4] Sonate de S[i]gnore Berteau für Vc. und B.c., 1759 (enth. auch ein Air varié für Vc., F-Pc/Pn)
[6] Sonate da camera a violino solo col basso continuo […] Opera seconda. Gravé par le Sr Hue, P. 1767, Bailleux, aux adresses ordinaires
Vivace, in: J.?B.?S.?Bréval, Méthode raisonnée de violoncelle, 1804
Etüde a-Moll, in: J.?B.?S.?Bréval, Traité du violoncelle op.?42, 1804
Etüde Nr.?6 G-Dur, in: J.?L.?Duport, Essai sur le doigté du violoncelle et sur la conduite de l’archet, o.?J. [1813?]
Concerto für Vc., [um 1820], Jouve

Stücke für Vc./Fg. op.?3 (1767?)
Musique de violoncelle [op. 4], (1777?)
Sonaten (1783?)
4 Konzerte, aufgef. im Concert spirituel (nach FétisB, S.?167; nicht aufgef. bei C.?Pierre 1975)";;;MGG
BERTOZZI, Giuseppe;;Italy;;;;"T. a Martini: ""Dentro la prossima settimana ventura capitaranno costì due giovani signori da me efficacemente raccomandati all’illustrissimo signor dottor Balbi, e a vostra riverenza. Uno di questi è qui adottorato in medicina; si chiama Giuseppe Bertozzi, ed è persona nobile del Friuli. L’altro che si chiama Antonio Puiati, è figlio dell’illustrissimo signor Giuseppe Puiati professore primario di medicina in questo studio […] Sono due giovani onestissimi con talento distinto, e voglia eguale di studiare. Meritano dunque di esse distintamente assistiti, ed io lavorando su‘l sicuro per ambedue le parti, mi son preso la libertà di accompagnarli con due mie lettere, una a vostra riverenza, l’altra all’illustrissimo Balbi, a cui vostra riverenza faccia veder questa mia, acciò sia prevenuto, e sappia inanzi chi siano e perché raccomandati""";;;;p. 259;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 384";;;;;;;
BIGATI;;Italy;Avignone;;;;;;;;;;;;;;;;;;"""Suonatore assai distinto di violoncello, allievo del celebre Tartini, fu condotto in Francia dal suo condiscepolo Fischer"", cfr. BERTINI 1814";;;;;;;
